frame,time_sec,mediapipe_processed,hand_detected,thumb_x,thumb_y,index_x,index_y,middle_x,middle_y,wrist_x,wrist_y,active_x,active_y,active_std_reference_distance,active_x_std_px,active_y_std_px,active_std_total_px,active_x_std_norm,active_y_std_norm,active_std_total_norm,active_std_valid_frames,reference_distance,thumb_index_ratio,index_middle_ratio,thumb_middle_ratio,pinch_detected,pinch_detected_frame_count,thumb_ip_angle,index_pip_angle,middle_pip_angle,direction_sign_x,direction_sign_y,rolling_direction_change_count_x,rolling_direction_change_count_y,rolling_repetition_count
91,3.0,0,1,637.30712890625,267.89846420288086,568.9790725708008,359.41792488098145,545.6106948852539,374.1728210449219,535.0411987304688,169.31316375732422,603.1431007385254,313.65819454193115,,,,,,,,0,95.92203956881038,1.1906822956425187,0.28811642761774187,1.4633290265600303,0,0,163.07351522445956,171.96732493046494,177.6179655996661,0,0,0,0,0
92,3.033333333333333,0,1,637.30712890625,267.89846420288086,568.9790725708008,359.41792488098145,545.6106948852539,374.1728210449219,535.0411987304688,169.31316375732422,603.1431007385254,313.65819454193115,,,,,,,,0,95.92203956881038,1.1906822956425187,0.28811642761774187,1.4633290265600303,0,0,163.07351522445956,171.96732493046494,177.6179655996661,0,0,0,0,0
93,3.066666666666667,1,1,626.3245391845703,265.3036594390869,562.6269912719727,355.41449546813965,539.4549942016602,371.1338138580322,524.1027450561523,166.6063642501831,594.4757652282715,310.3590774536133,,,,,,,,0,93.56197006154797,1.179442749497043,0.29927422460658715,1.463385947533695,0,0,172.71772483692015,174.89170473979925,179.03876235888202,0,0,0,0,0
94,3.1,0,1,626.3245391845703,265.3036594390869,562.6269912719727,355.41449546813965,539.4549942016602,371.1338138580322,524.1027450561523,166.6063642501831,594.4757652282715,310.3590774536133,,,,,,,,0,93.56197006154797,1.179442749497043,0.29927422460658715,1.463385947533695,0,0,172.71772483692015,174.89170473979925,179.03876235888202,0,0,0,0,0
95,3.1333333333333333,0,1,626.3245391845703,265.3036594390869,562.6269912719727,355.41449546813965,539.4549942016602,371.1338138580322,524.1027450561523,166.6063642501831,594.4757652282715,310.3590774536133,,,,,,,,0,93.56197006154797,1.179442749497043,0.29927422460658715,1.463385947533695,0,0,172.71772483692015,174.89170473979925,179.03876235888202,0,0,0,0,0
96,3.1666666666666665,1,1,627.9837417602539,264.208345413208,561.4297485351562,356.16994857788086,541.0085678100586,372.1277618408203,523.6822509765625,167.45883464813232,594.7067451477051,310.18914699554443,,,,,,,,0,95.47625679406144,1.188967332971963,0.2714467643578256,1.4517197391220074,0,0,166.94749965839182,174.8125753831071,178.11788788102297,0,0,0,0,0
97,3.2,0,1,627.9837417602539,264.208345413208,561.4297485351562,356.16994857788086,541.0085678100586,372.1277618408203,523.6822509765625,167.45883464813232,594.7067451477051,310.18914699554443,,,,,,,,0,95.47625679406144,1.188967332971963,0.2714467643578256,1.4517197391220074,0,0,166.94749965839182,174.8125753831071,178.11788788102297,0,0,0,0,0
98,3.2333333333333334,0,1,627.9837417602539,264.208345413208,561.4297485351562,356.16994857788086,541.0085678100586,372.1277618408203,523.6822509765625,167.45883464813232,594.7067451477051,310.18914699554443,,,,,,,,0,95.47625679406144,1.188967332971963,0.2714467643578256,1.4517197391220074,0,0,166.94749965839182,174.8125753831071,178.11788788102297,0,0,0,0,0
99,3.2666666666666666,1,1,627.3479080200195,263.5679340362549,561.1050796508789,356.54311180114746,540.3798675537109,372.8114318847656,521.2371826171875,167.5160264968872,594.2264938354492,310.0555229187012,,,,,,,,0,94.14700988053397,1.2125712548717043,0.2798552610724504,1.483145796184813,0,0,167.07957729368732,174.90503135114605,178.63857492273252,0,0,0,0,0
100,3.3,0,1,627.3479080200195,263.5679340362549,561.1050796508789,356.54311180114746,540.3798675537109,372.8114318847656,521.2371826171875,167.5160264968872,594.2264938354492,310.0555229187012,,,,,,,,0,94.14700988053397,1.2125712548717043,0.2798552610724504,1.483145796184813,0,0,167.07957729368732,174.90503135114605,178.63857492273252,0,0,0,0,0
